dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,215,1.0,Geneformer,protein_counts,2303,2.83207
PBMC,215,1.0,Geneformer,protein_counts,2701,2.85549
PBMC,215,1.0,PCA,protein_counts,42,3.71102
PBMC,215,1.0,PCA,protein_counts,2303,3.66306
PBMC,215,1.0,PCA,protein_counts,2701,3.7215
PBMC,215,1.0,RandomProjection,protein_counts,42,2.8748
PBMC,215,1.0,RandomProjection,protein_counts,2303,2.86534
PBMC,215,1.0,RandomProjection,protein_counts,2701,2.8748
PBMC,215,1.0,SCVI,protein_counts,42,2.61968
PBMC,215,1.0,SCVI,protein_counts,2303,2.60449
PBMC,215,1.0,SCVI,protein_counts,2701,2.93036
PBMC,464,0.0012346,Geneformer,protein_counts,42,0.71674
PBMC,464,0.0012346,Geneformer,protein_counts,2303,0.72828
PBMC,464,0.0012346,Geneformer,protein_counts,2701,0.69794
PBMC,464,0.0012346,PCA,protein_counts,42,0.38089
PBMC,464,0.0012346,PCA,protein_counts,2303,0.37433
PBMC,464,0.0012346,PCA,protein_counts,2701,0.37358
PBMC,464,0.0012346,RandomProjection,protein_counts,42,0.25169
PBMC,464,0.0012346,RandomProjection,protein_counts,2303,0.24459
PBMC,464,0.0012346,RandomProjection,protein_counts,2701,0.25169
PBMC,464,0.0012346,SCVI,protein_counts,42,0.30553
PBMC,464,0.0012346,SCVI,protein_counts,2303,0.30171
PBMC,464,0.0012346,SCVI,protein_counts,2701,0.27248
PBMC,464,0.0025982,Geneformer,protein_counts,42,1.09856
PBMC,464,0.0025982,Geneformer,protein_counts,2303,1.1133
PBMC,464,0.0025982,Geneformer,protein_counts,2701,1.12523
PBMC,464,0.0025982,PCA,protein_counts,42,0.58806
PBMC,464,0.0025982,PCA,protein_counts,2303,0.60927
PBMC,464,0.0025982,PCA,protein_counts,2701,0.58613
PBMC,464,0.0025982,RandomProjection,protein_counts,42,0.2752
PBMC,464,0.0025982,RandomProjection,protein_counts,2303,0.28246
PBMC,464,0.0025982,RandomProjection,protein_counts,2701,0.2752
PBMC,464,0.0025982,SCVI,protein_counts,42,0.61084
PBMC,464,0.0025982,SCVI,protein_counts,2303,0.56245
PBMC,464,0.0025982,SCVI,protein_counts,2701,0.57049
PBMC,464,0.0054682,Geneformer,protein_counts,42,1.52064
PBMC,464,0.0054682,Geneformer,protein_counts,2303,1.5083
PBMC,464,0.0054682,Geneformer,protein_counts,2701,1.49735
PBMC,464,0.0054682,PCA,protein_counts,42,0.91782
PBMC,464,0.0054682,PCA,protein_counts,2303,0.87838
PBMC,464,0.0054682,PCA,protein_counts,2701,0.86025
PBMC,464,0.0054682,RandomProjection,protein_counts,42,0.41653
PBMC,464,0.0054682,RandomProjection,protein_counts,2303,0.38736
PBMC,464,0.0054682,RandomProjection,protein_counts,2701,0.41653
PBMC,464,0.0054682,SCVI,protein_counts,42,1.19063
PBMC,464,0.0054682,SCVI,protein_counts,2303,1.12694
PBMC,464,0.0054682,SCVI,protein_counts,2701,1.15845
PBMC,464,0.0115083,Geneformer,protein_counts,42,1.90793
PBMC,464,0.0115083,Geneformer,protein_counts,2303,1.86318
PBMC,464,0.0115083,Geneformer,protein_counts,2701,1.857
PBMC,464,0.0115083,PCA,protein_counts,42,1.25072
PBMC,464,0.0115083,PCA,protein_counts,2303,1.27693
PBMC,464,0.0115083,PCA,protein_counts,2701,1.29257
PBMC,464,0.0115083,RandomProjection,protein_counts,42,0.6329
PBMC,464,0.0115083,RandomProjection,protein_counts,2303,0.65149
PBMC,464,0.0115083,RandomProjection,protein_counts,2701,0.6329
PBMC,464,0.0115083,SCVI,protein_counts,42,1.65763
PBMC,464,0.0115083,SCVI,protein_counts,2303,1.66967
PBMC,464,0.0115083,SCVI,protein_counts,2701,1.64536
PBMC,464,0.02422,Geneformer,protein_counts,42,2.19568
PBMC,464,0.02422,Geneformer,protein_counts,2303,2.14901
PBMC,464,0.02422,Geneformer,protein_counts,2701,2.18294
PBMC,464,0.02422,PCA,protein_counts,42,1.84157
PBMC,464,0.02422,PCA,protein_counts,2303,1.74832
PBMC,464,0.02422,PCA,protein_counts,2701,1.81043
PBMC,464,0.02422,RandomProjection,protein_counts,42,1.01817
PBMC,464,0.02422,RandomProjection,protein_counts,2303,1.02923
PBMC,464,0.02422,RandomProjection,protein_counts,2701,1.01817
PBMC,464,0.02422,SCVI,protein_counts,42,2.13545
PBMC,464,0.02422,SCVI,protein_counts,2303,2.09304
PBMC,464,0.02422,SCVI,protein_counts,2701,2.13245
PBMC,464,0.050973,Geneformer,protein_counts,42,2.39485
PBMC,464,0.050973,Geneformer,protein_counts,2303,2.36256
PBMC,464,0.050973,Geneformer,protein_counts,2701,2.41
PBMC,464,0.050973,PCA,protein_counts,42,2.23425
PBMC,464,0.050973,PCA,protein_counts,2303,2.21376
PBMC,464,0.050973,PCA,protein_counts,2701,2.29167
PBMC,464,0.050973,RandomProjection,protein_counts,42,1.46463
PBMC,464,0.050973,RandomProjection,protein_counts,2303,1.47537
PBMC,464,0.050973,RandomProjection,protein_counts,2701,1.46463
PBMC,464,0.050973,SCVI,protein_counts,42,2.63832
