dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,100000,0.0012346,large,val,3000,4.869790554046631,False
PBMC,100000,0.0012346,large,val,4000,4.5474395751953125,False
PBMC,100000,0.0012346,large,val,5000,4.541366100311279,False
PBMC,100000,0.0012346,large,val,6000,4.5880255699157715,False
PBMC,100000,0.0012346,large,val,7000,4.382236003875732,False
PBMC,100000,0.0012346,large,val,8000,4.472196102142334,False
PBMC,100000,0.0012346,large,val,9000,4.345870494842529,False
PBMC,100000,0.0012346,large,val,10000,4.31052303314209,False
PBMC,100000,0.0012346,large,val,11000,4.330141544342041,False
PBMC,100000,0.0012346,large,val,12000,4.292060852050781,False
PBMC,100000,0.0012346,large,val,13000,4.388209342956543,False
PBMC,100000,0.0012346,large,val,14000,4.226631164550781,False
PBMC,100000,0.0012346,large,val,15000,4.302334308624268,False
PBMC,100000,0.0012346,large,val,16000,4.306604862213135,False
PBMC,100000,0.0012346,large,val,17000,4.249234676361084,False
PBMC,100000,0.0012346,large,val,18000,4.172471046447754,False
PBMC,100000,0.0012346,large,val,19000,4.299071311950684,False
PBMC,100000,0.0012346,large,val,20000,4.174854278564453,False
PBMC,100000,0.0012346,large,val,21000,4.266775131225586,False
PBMC,100000,0.0012346,large,val,22000,4.210036754608154,False
PBMC,100000,0.0012346,large,val,23000,4.276139736175537,False
PBMC,100000,0.0012346,large,val,18000,4.172471046447754,True
PBMC,100000,0.0025982,large,train,1000,7.744,False
PBMC,100000,0.0025982,large,train,2000,6.0103,False
PBMC,100000,0.0025982,large,train,3000,5.4527,False
PBMC,100000,0.0025982,large,train,4000,5.18,False
PBMC,100000,0.0025982,large,train,5000,5.0596,False
PBMC,100000,0.0025982,large,train,6000,4.9771,False
PBMC,100000,0.0025982,large,train,7000,4.902,False
PBMC,100000,0.0025982,large,train,8000,4.8613,False
PBMC,100000,0.0025982,large,train,9000,4.8312,False
PBMC,100000,0.0025982,large,train,10000,4.8015,False
PBMC,100000,0.0025982,large,train,11000,4.7936,False
PBMC,100000,0.0025982,large,train,12000,4.7747,False
PBMC,100000,0.0025982,large,train,13000,4.7607,False
PBMC,100000,0.0025982,large,train,14000,4.7294,False
PBMC,100000,0.0025982,large,train,15000,4.7263,False
PBMC,100000,0.0025982,large,train,16000,4.7166,False
PBMC,100000,0.0025982,large,train,17000,4.7084,False
PBMC,100000,0.0025982,large,train,18000,4.6829,False
PBMC,100000,0.0025982,large,train,19000,4.6882,False
