dataset,algo,size,quality,probe,value
PBMC,SCVI,1000,0.0054682,ridge_mean_r2,0.1045206824525467
PBMC,SCVI,1000,0.0115083,ridge_mean_r2,0.12839039953885287
PBMC,SCVI,1000,0.02422,ridge_mean_r2,0.15921379630741123
PBMC,SCVI,1000,0.050973,ridge_mean_r2,0.19130571406959018
PBMC,SCVI,1000,0.1072766,ridge_mean_r2,0.20847747194659116
PBMC,SCVI,1000,0.225772,ridge_mean_r2,0.22126158186691325
PBMC,SCVI,1000,0.4751547,ridge_mean_r2,0.231962657316107
PBMC,SCVI,1000,1.0,ridge_mean_r2,0.24332068648871488
PBMC,SCVI,2154,0.0012346,ridge_mean_r2,0.04757533381621567
PBMC,SCVI,2154,0.0025982,ridge_mean_r2,0.08755628943278516
PBMC,SCVI,2154,0.0054682,ridge_mean_r2,0.11272703309171096
PBMC,SCVI,2154,0.0115083,ridge_mean_r2,0.14274965330171802
PBMC,SCVI,2154,0.02422,ridge_mean_r2,0.172922732522426
PBMC,SCVI,2154,0.050973,ridge_mean_r2,0.2081621517717133
PBMC,SCVI,2154,0.1072766,ridge_mean_r2,0.22430002311505567
PBMC,SCVI,2154,0.225772,ridge_mean_r2,0.22450167548102695
PBMC,SCVI,2154,0.4751547,ridge_mean_r2,0.2342279813195415
PBMC,SCVI,2154,1.0,ridge_mean_r2,0.24200105411895986
PBMC,SCVI,4641,0.0012346,ridge_mean_r2,0.05779738188075683
PBMC,SCVI,4641,0.0025982,ridge_mean_r2,0.09190834654987154
PBMC,SCVI,4641,0.0054682,ridge_mean_r2,0.12282393804355514
PBMC,SCVI,4641,0.0115083,ridge_mean_r2,0.1561538859024124
PBMC,SCVI,4641,0.02422,ridge_mean_r2,0.18309472283756453
PBMC,SCVI,4641,0.050973,ridge_mean_r2,0.216048496763683
PBMC,SCVI,4641,0.1072766,ridge_mean_r2,0.2355803161683725
PBMC,SCVI,4641,0.225772,ridge_mean_r2,0.25978523319344704
PBMC,SCVI,4641,0.4751547,ridge_mean_r2,0.25366818299557486
PBMC,SCVI,4641,1.0,ridge_mean_r2,0.26455614256886356
PBMC,SCVI,10000,0.0012346,ridge_mean_r2,0.06675560733355396
PBMC,SCVI,10000,0.0025982,ridge_mean_r2,0.10213959247724021
PBMC,SCVI,10000,0.0054682,ridge_mean_r2,0.1312437084529059
PBMC,SCVI,10000,0.0115083,ridge_mean_r2,0.16229293298045638
PBMC,SCVI,10000,0.02422,ridge_mean_r2,0.19135781176454392
PBMC,SCVI,10000,0.050973,ridge_mean_r2,0.21948543185487865
PBMC,SCVI,10000,0.1072766,ridge_mean_r2,0.23794886575978857
PBMC,SCVI,10000,0.225772,ridge_mean_r2,0.26891806349825315
