dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,1000,0.77073
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,2000,0.93756
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,3000,1.03168
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,4000,1.04649
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,5000,1.11259
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,6000,1.18224
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,7000,1.21874
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,8000,1.23871
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,9000,1.30505
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,10000,1.33008
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,11000,1.3325
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,12000,1.37679
shendure,Geneformer,author_day,42,4641,0.1587401,0.1587401,13000,1.37847
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,1000,0.68107
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,2000,1.00342
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,3000,1.12043
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,4000,1.16388
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,5000,1.26835
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,6000,1.36819
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,7000,1.43871
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,8000,1.47902
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,9000,1.48636
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,10000,1.55226
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,11000,1.54598
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,12000,1.51954
shendure,Geneformer,author_day,42,4641,0.2931733,0.2931733,13000,1.57875
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,1000,0.71463
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,2000,1.14899
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,3000,1.19227
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,4000,1.31684
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,5000,1.4195
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,6000,1.4844
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,7000,1.55181
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,8000,1.58771
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,9000,1.57139
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,10000,1.65343
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,11000,1.68883
